country,region,date,retail,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
United Arab Emirates,Total,16/04/2020,-63,-32,-74,-79,-55,34
United Arab Emirates,Abu Dhabi,16/04/2020,-54,-23,-66,-75,-47,28
United Arab Emirates,Ajman,16/04/2020,-49,-26,-83,-50,-46,29
United Arab Emirates,Dubai,16/04/2020,-76,-42,-78,-81,-64,41
United Arab Emirates,Fujairah,16/04/2020,-46,-22,-43,,-30,21
United Arab Emirates,Ras al Khaimah,16/04/2020,-47,-24,-49,-59,-34,22
United Arab Emirates,Sharjah,16/04/2020,-47,-25,-83,-72,-50,30
United Arab Emirates,Umm Al Quawain,16/04/2020,-42,-23,,,-35,
Afghanistan,Total,16/04/2020,-46,-34,-13,-51,-39,16
Antigua and Barbuda,Total,16/04/2020,-67,-48,-55,-78,-73,
Angola,Total,16/04/2020,-52,-34,-36,-59,-51,25
Argentina,Total,16/04/2020,-83,-31,-92,-61,-53,26
Argentina,Buenos Aires,16/04/2020,-88,-27,-93,-72,-73,34
Argentina,Buenos Aires Province,16/04/2020,-83,-28,-94,-58,-57,27
Argentina,Catamarca Province,16/04/2020,-74,-15,-90,-62,-31,21
Argentina,Chaco Province,16/04/2020,-80,-28,-91,-74,-42,20
Argentina,Chubut Province,16/04/2020,-83,-36,-91,-77,-48,25
Argentina,Cordoba,16/04/2020,-83,-35,-93,-78,-51,26
Argentina,Corrientes,16/04/2020,-78,-37,-86,-73,-37,19
Argentina,Entre Rios,16/04/2020,-81,-30,-91,-70,-38,20
Argentina,Formosa Province,16/04/2020,-82,-18,-85,0,-27,15
Argentina,Jujuy,16/04/2020,-81,-25,-86,-78,-38,20
Argentina,La Pampa,16/04/2020,-83,-34,-87,-58,-44,23
Argentina,La Rioja Province,16/04/2020,-76,-35,-96,-68,-46,21
Argentina,Mendoza Province,16/04/2020,-80,-31,-89,-50,-47,26
Argentina,Misiones Province,16/04/2020,-77,-32,-81,-82,-35,19
Argentina,Neuquen,16/04/2020,-85,-41,-91,-60,-55,29
Argentina,Río Negro,16/04/2020,-87,-49,-91,-91,-52,28
Argentina,Salta Province,16/04/2020,-80,-35,-87,-45,-42,21
Argentina,San Juan Province,16/04/2020,-79,-14,-92,-76,-39,22
Argentina,San Luis Province,16/04/2020,-84,-39,-93,-74,-47,23
Argentina,Santa Cruz Province,16/04/2020,-82,-35,-88,-87,-47,26
Argentina,Santa Fe Province,16/04/2020,-81,-31,-93,-31,-48,24
Argentina,Santiago del Estero Province,16/04/2020,-80,-31,-87,-82,-44,20
Argentina,Tierra del Fuego Province,16/04/2020,-86,-50,-89,-79,-66,31
Argentina,Tucumán,16/04/2020,-79,-23,-84,-55,-45,20
Austria,Total,16/04/2020,-63,-18,-9,-57,-52,20
Austria,Burgenland,16/04/2020,-54,-14,44,-34,-50,19
Austria,Carinthia,16/04/2020,-59,-19,-20,-48,-47,17
Austria,Lower Austria,16/04/2020,-55,-7,53,-60,-51,20
Austria,Salzburg,16/04/2020,-71,-29,-48,-62,-50,19
Austria,Styria,16/04/2020,-61,-19,-12,-54,-50,19
Austria,Tyrol,16/04/2020,-73,-31,-50,-62,-50,19
Austria,Upper Austria,16/04/2020,-58,-14,21,-54,-48,19
Austria,Vienna,16/04/2020,-67,-15,17,-60,-61,22
Austria,Vorarlberg,16/04/2020,-60,-18,-39,-63,-45,19
Australia,Total,16/04/2020,-39,-8,-27,-60,-41,20
Australia,Australian Capital Territory,16/04/2020,-37,6,-3,-57,-49,22
Australia,New South Wales,16/04/2020,-40,-6,-26,-60,-43,21
Australia,Northern Territory,16/04/2020,-20,0,-11,-43,-18,13
Australia,Queensland,16/04/2020,-34,-5,-23,-58,-38,16
Australia,South Australia,16/04/2020,-32,0,-24,-51,-34,16
Australia,Tasmania,16/04/2020,-50,-24,-60,-60,-35,18
Australia,Victoria,16/04/2020,-45,-13,-42,-70,-44,23
Australia,Western Australia,16/04/2020,-32,-6,-25,-56,-34,18
Aruba,Total,16/04/2020,-66,-31,-48,-68,-63,32
Bosnia and Herzegovina,Total,16/04/2020,-56,-15,12,-46,-46,14
Barbados,Total,16/04/2020,-71,-46,-64,-79,-73,32
Barbados,Christ Church,16/04/2020,-79,-52,,-84,-74,
Barbados,Saint George,16/04/2020,,,-51,,-74,
Barbados,Saint James,16/04/2020,,,,,-75,
Barbados,Saint John,16/04/2020,,,,,-72,
Barbados,Saint Lucy,16/04/2020,,,,,-71,
Barbados,Saint Michael,16/04/2020,-73,-50,-78,-78,-72,
Barbados,Saint Peter,16/04/2020,,,,,-74,
Barbados,Saint Philip,16/04/2020,,,,,-72,
Barbados,Saint Thomas,16/04/2020,,,,,-74,
